지역,총판코드,지역,총판명,총판명(공식),목표과목1 부수,목표과목 1매출액,목표과목2 부수,목표과목2 매출액,전체목표 부수,전체목표 매출액
부산광역시,7002,부산,한길도서,부산)한길도서,"8,300 ","124,500,000 ","12,000 ","180,000,000 ","8,477 ","135,616,500 "
부산광역시,7001,부산,천재문화,부산)천재문화,,,0 ,0 ,,
대구광역시,7301,대구,대본서적,대구)대본서적,"6,800 ","102,000,000 ","9,800 ","147,000,000 ","5,012 ","79,528,600 "
광주광역시,5001,광주,천재도서,광주)천재도서,"5,200 ","78,000,000 ","7,500 ","112,500,000 ","6,067 ","97,256,800 "
경기도,2101,고양,아현교육,고양)아현교육,"4,800 ","72,000,000 ","6,900 ","103,500,000 ","2,868 ","45,839,600 "
인천광역시,2001,인천,진웅서적,인천)진웅서적,"4,700 ","70,500,000 ","6,700 ","100,500,000 ","4,041 ","64,866,300 "
대전광역시,4001,대전,중심서적,대전)중심서적,"4,600 ","69,000,000 ","6,600 ","99,000,000 ","3,986 ","65,658,900 "
경기도,2102,오산,새로이교육,오산)새로이교육,"4,600 ","69,000,000 ","6,600 ","99,000,000 ","3,863 ","62,536,600 "
인천광역시,2002,부평,나일도서,부평)나일도서,"4,100 ","61,500,000 ","5,800 ","87,000,000 ","3,648 ","59,360,000 "
경기도,2103,용인,문정서적,용인)문정서적,"3,800 ","57,000,000 ","5,400 ","81,000,000 ","3,382 ","53,398,600 "
경기도,2104,수원,이상서적,수원)이상서적,"3,700 ","55,500,000 ","5,300 ","79,500,000 ","1,410 ","22,955,000 "
충청남도,4101,천안,천안서적,천안)천안서적,"3,600 ","54,000,000 ","5,200 ","78,000,000 ","2,705 ","43,630,400 "
경상남도,7201,창원,남도서적,창원)남도서적,"3,600 ","54,000,000 ","5,100 ","76,500,000 ","3,746 ","61,636,200 "
서울특별시,1002,강남,푸른언덕,강남)푸른언덕,"3,150 ","47,250,000 ","4,500 ","67,500,000 ","3,710 ","59,285,900 "
경기도,2105,구리,한강도서,구리)한강도서,"3,050 ","45,750,000 ","4,400 ","66,000,000 ","1,897 ","30,735,200 "
서울특별시,1003,강동,한백도서,강동)한백도서,"3,050 ","45,750,000 ","4,400 ","66,000,000 ","3,484 ","56,887,900 "
경기도,2106,안양,동명문고,안양)동명문고,"3,000 ","45,000,000 ","4,300 ","64,500,000 ","2,187 ","37,202,800 "
충청북도,4201,청주,학우사,청주)학우사,"2,900 ","43,500,000 ","4,200 ","63,000,000 ","3,160 ","50,733,800 "
서울특별시,1001,노원,대성서적,노원)대성서적,"2,900 ","43,500,000 ","4,200 ","63,000,000 ","3,212 ","51,527,200 "
서울특별시,1004,강서,강서도서,강서)강서도서,"2,800 ","42,000,000 ","4,000 ","60,000,000 ","2,376 ","37,124,000 "
경기도,2108,의정부,다독도서,의정부)다독도서,"2,800 ","42,000,000 ","4,000 ","60,000,000 ","2,155 ","33,650,500 "
전북특별자치도,5201,전주,열린교육,전주)열린교육,"2,700 ","40,500,000 ","3,900 ","58,500,000 ","3,644 ","60,224,000 "
서울특별시,1005,동대문,문형서적,동대문)문형서적,"2,600 ","39,000,000 ","3,800 ","57,000,000 ","2,349 ","39,188,700 "
경기도,2107,성남,천재도서,성남)천재도서,"2,600 ","39,000,000 ","3,700 ","55,500,000 ","3,513 ","56,496,800 "
경기도,2109,평택,에듀뱅크,평택)에듀뱅크,"2,500 ","37,500,000 ","3,600 ","54,000,000 ","1,727 ","26,517,600 "
경상남도,7202,김해,명인서적,김해)명인서적,"2,200 ","33,000,000 ","3,200 ","48,000,000 ",757 ,"12,972,500 "
경기도,2110,부천,부천교육,부천)부천교육,"2,100 ","31,500,000 ","3,000 ","45,000,000 ",406 ,"6,932,000 "
경기도,2111,하남,광주교육,하남)광주교육,"2,000 ","30,000,000 ","2,900 ","43,500,000 ","2,257 ","36,465,700 "
울산광역시,7101,울산,국일서적,울산)국일서적,"2,000 ","30,000,000 ","2,900 ","43,500,000 ","1,082 ","16,371,000 "
서울특별시,1006,영등포,태영도서,영등포)태영도서,"2,000 ","30,000,000 ","2,900 ","43,500,000 ","1,517 ","24,991,100 "
경기도,2114,김포,청인에듀,김포)청인에듀,"1,900 ","28,500,000 ","2,800 ","42,000,000 ","1,920 ","30,668,000 "
경기도,2112,안산,한솔문고,안산)한솔문고,"1,900 ","28,500,000 ","2,800 ","42,000,000 ",967 ,"14,742,200 "
세종특별자치시,4301,세종,중심서적,세종)중심서적,"1,800 ","27,000,000 ","2,500 ","37,500,000 ","1,228 ","20,639,500 "
제주특별자치도,6001,제주,은성도서,제주)은성도서,"1,800 ","27,000,000 ","2,500 ","37,500,000 ","1,967 ","33,548,500 "
경기도,2113,시흥,플러스원서적,시흥)플러스원서적,"1,750 ","26,250,000 ","2,500 ","37,500,000 ","2,698 ","43,738,400 "
서울특별시,1007,서대문,신흥도서,서대문)신흥도서,"1,750 ","26,250,000 ","2,500 ","37,500,000 ","1,596 ","26,822,200 "
울산광역시,7102,울산,세영서적,울산)세영서적,"1,700 ","25,500,000 ","2,400 ","36,000,000 ","1,727 ","26,923,800 "
전라남도,5101,순천,중앙서점,순천)중앙서점,"1,600 ","24,000,000 ","2,200 ","33,000,000 ","1,294 ","21,403,500 "
경상북도,7401,포항,여해서적,포항)여해서적,"1,550 ","23,250,000 ","2,200 ","33,000,000 ","1,770 ","29,670,500 "
경상남도,7203,진주,이룸도서,진주)이룸도서,"1,550 ","23,250,000 ","2,200 ","33,000,000 ","2,581 ","42,854,500 "
서울특별시,1008,관악,일신도서,관악)일신도서,"1,500 ","22,500,000 ","2,200 ","33,000,000 ","1,295 ","20,911,600 "
경상북도,7402,구미,우리교육,구미)우리교육,"1,500 ","22,500,000 ","2,100 ","31,500,000 ","1,439 ","23,202,100 "
서울특별시,1009,종로,서경서적,종로)서경서적,"1,500 ","22,500,000 ","2,100 ","31,500,000 ","1,845 ","29,835,100 "
경상남도,7204,통영,이문당,통영)이문당,"1,400 ","21,000,000 ","2,000 ","30,000,000 ","1,233 ","19,507,800 "
전라남도,5102,목포,대동서적,목포)대동서적,"1,400 ","21,000,000 ","2,000 ","30,000,000 ","2,021 ","32,020,000 "
강원특별자치도,3002,춘천,춘천도서,춘천)춘천도서,"1,300 ","19,500,000 ","1,800 ","27,000,000 ","1,073 ","17,268,800 "
강원특별자치도,3001,원주,미래교육,원주)미래교육,"1,300 ","19,500,000 ","1,800 ","27,000,000 ",359 ,"5,999,000 "
경상남도,7205,양산,제일도서,양산)제일도서,"1,200 ","18,000,000 ","1,700 ","25,500,000 ",696 ,"11,678,500 "
서울특별시,1010,마포,중부사,마포)중부사,"1,200 ","18,000,000 ","1,700 ","25,500,000 ","1,140 ","17,688,800 "
강원특별자치도,3003,강릉,동아도서,강릉)동아도서,"1,000 ","15,000,000 ","1,500 ","22,500,000 ",161 ,"2,651,000 "
경기도,2115,이천,대동교육,이천)대동교육,"1,000 ","15,000,000 ","1,500 ","22,500,000 ",906 ,"14,437,800 "
경상북도,7403,경산,경일서적,경산)경일서적,"1,000 ","15,000,000 ","1,500 ","22,500,000 ",567 ,"9,724,500 "
경기도,2113,광명,플러스원서적,광명)플러스원서적,900 ,"13,500,000 ","1,300 ","19,500,000 ","2,698 ","43,738,400 "
전북특별자치도,5203,군산,군산서적,군산)군산서적,900 ,"13,500,000 ","1,200 ","18,000,000 ",449 ,"7,215,800 "
전북특별자치도,5202,익산,하늘문고,익산)하늘문고,900 ,"13,500,000 ","1,200 ","18,000,000 ",871 ,"13,463,400 "
전라남도,5103,여수,천재도서,여수)천재도서,800 ,"12,000,000 ","1,100 ","16,500,000 ",422 ,"6,435,000 "
충청남도,4102,서산,중앙서적,서산)중앙서적,700 ,"10,500,000 ","1,000 ","15,000,000 ",798 ,"12,653,600 "
충청북도,4204,증평,동아서림,증평)동아서림,700 ,"10,500,000 ","1,000 ","15,000,000 ",212 ,"3,275,000 "
경상북도,7404,경주,경주도서,경주)경주도서,650 ,"9,750,000 ",950 ,"14,250,000 ",415 ,"7,354,000 "
경상북도,7405,안동,종로교재,안동)종로교재,650 ,"9,750,000 ",950 ,"14,250,000 ",730 ,"11,815,500 "
충청북도,4202,충주,북적북적,충주)북적북적,600 ,"9,000,000 ",850 ,"12,750,000 ",0 ,0 
충청남도,4103,당진,삼지사,당진)삼지사,600 ,"9,000,000 ",800 ,"12,000,000 ",727 ,"11,838,000 "
경상남도,7206,사천,새싹서점,사천)새싹서점,550 ,"8,250,000 ",800 ,"12,000,000 ",523 ,"8,637,000 "
제주특별자치도,6002,서귀포,명문서적,서귀포)명문서적,550 ,"8,250,000 ",750 ,"11,250,000 ",368 ,"5,770,800 "
충청남도,4104,홍성,중앙서점,홍성)중앙서점,500 ,"7,500,000 ",750 ,"11,250,000 ",126 ,"2,041,500 "
충청남도,4105,논산,이화서점,논산)이화서점,500 ,"7,500,000 ",750 ,"11,250,000 ",746 ,"11,993,000 "
경기도,2116,양평,학원서림,양평)학원서림,500 ,"7,500,000 ",700 ,"10,500,000 ",107 ,"1,634,000 "
전북특별자치도,5204,정읍,보람서점,정읍)보람서점,450 ,"6,750,000 ",650 ,"9,750,000 ",448 ,"7,428,600 "
충청북도,4203,제천,이문서점,제천)이문서점,400 ,"6,000,000 ",600 ,"9,000,000 ",38 ,"722,000 "
전라남도,5105,해남,해남서점,해남)해남서점,400 ,"6,000,000 ",600 ,"9,000,000 ",347 ,"5,421,400 "
경상북도,7406,영주,샘터서점,영주)샘터서점,400 ,"6,000,000 ",550 ,"8,250,000 ",388 ,"6,984,000 "
경상북도,7407,상주,한양도서,상주)한양도서,400 ,"6,000,000 ",550 ,"8,250,000 ",92 ,"1,449,000 "
경상북도,7409,칠곡,세종서점,칠곡)세종서점,350 ,"5,250,000 ",550 ,"8,250,000 ",597 ,"9,718,500 "
경상북도,7408,김천,춘양당,김천)춘양당,350 ,"5,250,000 ",550 ,"8,250,000 ",60 ,"980,000 "
강원특별자치도,3005,영월,중앙서점,영월)중앙서점,375 ,"5,625,000 ",525 ,"7,875,000 ",248 ,"3,832,900 "
강원특별자치도,3004,속초,문우당,속초)문우당,375 ,"5,625,000 ",525 ,"7,875,000 ",172 ,"3,050,000 "
전라남도,5104,나주,종합서점,나주)종합서점,375 ,"5,625,000 ",525 ,"7,875,000 ",74 ,"1,332,000 "
전북특별자치도,5205,김제,삼화서점,김제)삼화서점,325 ,"4,875,000 ",425 ,"6,375,000 ",55 ,"945,000 "
충청남도,4106,공주,열린문고,공주)열린문고,300 ,"4,500,000 ",425 ,"6,375,000 ",344 ,"5,998,000 "
충청남도,4107,보령,한내서적,보령)한내서적,250 ,"3,750,000 ",375 ,"5,625,000 ",0 ,0 
전북특별자치도,5206,남원,성지서림,남원)성지서림,200 ,"3,000,000 ",300 ,"4,500,000 ",250 ,"4,011,000 "
충청남도,4108,부여,문광사,부여)문광사,100 ,"1,500,000 ",200 ,"3,000,000 ",180 ,"2,742,700 "
경상북도,7410,울진,종로서적,울진)종로서적,100 ,"1,500,000 ",150 ,"2,250,000 ",131 ,"2,045,000 "
전라남도,5106,보성,대교서점,보성)대교서점,100 ,"1,500,000 ",100 ,"1,500,000 ",238 ,"3,689,000 "
