코드,교과군,연번,학교급,구분,교과군,교과서명,대표저자,심의기관,판형,확정가,담당,비고,2026 목표과목
462681,사회,1,고등학교,교과서,사회(역사/도덕),한국사 1,신주백,교육과정평가원,215*280,"9,950 ",나현서,,
462781,사회,2,고등학교,교과서,사회(역사/도덕),한국사 2,신주백,교육과정평가원,215*280,"9,950 ",나현서,,
463551,사회,3,고등학교,교과서,사회(역사/도덕),현대사회와 윤리,조주현,교육과정평가원,215*280,"13,400 ",최종원,,목표과목2
476151,사회,4,고등학교,교과서,사회(역사/도덕),사회문제 탐구,김명정,세종교육청,215*280,"16,000 ",이양희,,목표과목2
476331,사회,5,고등학교,교과서,사회(역사/도덕),윤리문제 탐구,최경영,인천교육청,215*280,"15,000 ",최종원,,목표과목2
473921,사회,6,고등학교,교과서,사회(역사/도덕),여행지리,마경묵,전북교육청,215*280,"16,000 ",이양희,,목표과목2
476411,사회,7,고등학교,교과서,사회(역사/도덕),기후변화와 지속가능한 세계,이승호,인천교육청,215*280,"16,000 ",이양희,,목표과목2
476031,사회,8,고등학교,교과서,사회(역사/도덕),역사로 탐구하는 현대 세계,신주백,인천교육청,215*280,"15,000 ",박샘이,0829_가격 공고,목표과목2
476251,사회,9,고등학교,교과서,사회(역사/도덕),금융과 경제생활,한진수,세종교육청,215*280,"16,000 ",이양희,조정가(25.07.21) 1.7-->1.6으로 조정,목표과목2
473731,사회,10,고등학교,교과서,사회(역사/도덕),윤리와 사상,김상득,울산교육청,215*280,"16,500 ",최종원,"0625_1.65만원, 0814_유선 확정 통보",목표과목2
273241,과학,11,중학교,교과서,진로·보건,보건,김선아,서울교육연구정보원,215*280,"15,000 ",신혜영,,
477441,과학,12,고등학교,교과서,과학,기후변화와 환경생태,하경자,대전교육청,215*280,"17,000 ",신혜영,,목표과목2
477331,과학,13,고등학교,교과서,과학,과학의 역사와 문화,김호련,대구교육청,215*280,"16,500 ",신혜영,0812_가격 조정 권고_수용 회신,목표과목2
273371,교양,14,중학교,교과서,교양,진로와 직업,한상근,전북교육청,215*280,"12,500 ",박영지,,
484841,교양,15,고등학교,교과서,교양,진로와 직업,임은미,전북교육청,215*280,"14,100 ",박영지,,
485271,교양,16,고등학교,교과서,교양,인간과 심리,신지은,세종교육청,215*280,"16,000 ",강민아,,목표과목2
485631,교양,17,고등학교,교과서,교양,논술,류수열,대구교육청,215*280,"16,000 ",강민아,25.2.11.공고,목표과목2
471811,수학,18,고등학교,교과서,수학,경제 수학,김서령,광주교육연구정보원,215*280,"16,000 ",장순자,,목표과목2
471911,수학,19,고등학교,교과서,수학,인공지능 수학,윤상운,광주교육연구정보원,215*280,"16,000 ",장순자,,목표과목2
472141,수학,20,고등학교,교과서,수학,수학과 문화,주미경,충남교육평가정보원,215*280,"14,000 ",장순자,확정 ,목표과목2
272461,미술,21,중학교,교과서,미술,미술 ①,고황경,경기교육청,228*300,"13,000 ",권민서,,
272661,미술,22,중학교,교과서,미술,미술 ②,고황경,경기교육청,228*300,"13,000 ",권민서,,
481951,미술,23,고등학교,교과서,예술(미술),미술,이주연,경기교육청,228*300,"14,000 ",모은영,,
482331,미술,24,고등학교,교과서,예술(미술),미술 창작,이주연,경기교육청,228*300,"15,000 ",모은영,,목표과목2
482631,미술,25,고등학교,교과서,예술(미술),미술과 매체,안지연,경기교육청,255*290,"14,200 ",모은영,확정 ,목표과목2
271671,체육,26,중학교,교과서,체육,체육 ①,박경석,광주교육연구정보원,215*280,"16,000 ",조경진,,
271871,체육,27,중학교,교과서,체육,체육 ②,박경석,광주교육연구정보원,215*280,"16,000 ",조경진,,
481061,체육,28,고등학교,교과서,체육,체육 1,임성철,서울교육연구정보원,215*280,"15,000 ",김경원,,
481261,체육,29,고등학교,교과서,체육,체육 2,임성철,서울교육연구정보원,215*280,"15,000 ",김경원,,
481451,체육,30,고등학교,교과서,체육,운동과 건강,이병호,서울교육연구정보원,215*280,"14,500 ",장인선,,목표과목1
481551,체육,31,고등학교,교과서,체육,스포츠 생활 1,황선환,서울교육연구정보원,215*280,"15,000 ",정광구,,목표과목1
481651,체육,32,고등학교,교과서,체육,스포츠 생활 2,황선환,서울교육연구정보원,215*280,"15,000 ",정광구,,목표과목1
490471,체육,33,고등학교,교과서,체육,스포츠 문화,황선환,서울교육연구정보원,215*280,"16,000 ",김경원,8.28.공문,목표과목1
490381,체육,34,고등학교,교과서,체육,스포츠 과학,박경석,서울교육연구정보원,215*280,"16,000 ",조경진,8.28.공문,목표과목1
271561,정보,35,중학교,교과서,정보,정보,서태원,제주교육청,215*280,"15,500 ",최수현,,
483581,정보,36,고등학교,교과서,정보,정보,강신천,제주교육청,215*280,"15,500 ",이은경,,
483671,정보,37,고등학교,교과서,정보,인공지능 기초,이지항,광주교육연구정보원,215*280,"18,000 ",서경숙,,목표과목2
483941,정보,38,고등학교,교과서,정보,소프트웨어와 생활,조정원,광주교육연구정보원,215*280,"17,000 ",윤예영,,목표과목2
483851,정보,39,고등학교,교과서,정보,데이터 과학,강신천,광주교육연구정보원,215*280,"18,000 ",이은경,25.8.21. 정가확정 공고,목표과목2
485921,정보,40,고등학교,교과서,정보,정보과학,장병철,대전교육과정정보원,215*280,"19,000 ",서경숙,8.29.공고,목표과목2
482951,기술,41,고등학교,교과서,기술⋅가정,로봇과 공학세계,한재권,광주교육연구정보원,215*280,"17,000 ",이대영,8.21. 정가확정 공고,목표과목2
484761,한문,42,고등학교,교과서,한문,언어생활과 한자,김성중,충북교육청,215*280,"15,000 ",김영범,,목표과목2
486251,전문,43,고등학교,교과서,전문공통,성공적인 직업생활,김종욱,울산교육청,215*280,"19,000 ",김영범,,
486471,전문,44,고등학교,교과서,전문공통,디지털과 직업생활,이수정,서울교육청,215*280,"17,400 ",이대영,,
486511,전문,45,고등학교,교과서,경영·금융,상업 경제,조경희,경북교육청,215*280,"17,000 ",김영우,,
486611,전문,46,고등학교,교과서,경영·금융,사무 관리,조경희,대전교육청,215*280,"17,000 ",김영우,,
489121,전문,47,고등학교,교과서,정보·통신,정보 처리와 관리,최종대,경기교육청,215*280,"17,000 ",김영우,,
489251,전문,48,고등학교,교과서,정보·통신,프로그래밍(C),장병철,광주교육연구정보원,215*280,"19,000 ",지아현,,
489261,전문,49,고등학교,교과서,정보·통신,프로그래밍(Python),임종현,광주교육연구정보원,215*280,"18,000 ",지아현,8.21. 정가확정 공고,
488911,전문,50,고등학교,교과서,전기·전자,디지털 논리 회로,김종오,경기교육청,215*280,"16,500 ",김영우,,
488721,전문,51,고등학교,교과서,전기·전자,전기 회로,김종오,서울교육청,215*280,"18,200 ",김영우,,
,고시 외 과목,52,고등학교,교과서,신소재,나노기술공학개론,신훈규,경남교육청,,"22,000 ",김영범,확정가(24.11.21.),
489811,고시 외 과목,53,고등학교,교과서,교양,에너지와 탄소중립,이호무,울산교육청,,"17,000 ",이대영,25.2.6. 확정,
489711,고시 외 과목,54,고등학교,교과서,교양,통계와 사회,정문성,인천교육청,,"15,000 ",김영우,25.1.14.확정,
273711,고시 외 과목,55,중학교,교과서,정보,디지털 리터러시,김성율,부산교육청,,"15,000 ",최수현,24.12.11.확정,
273811,고시 외 과목,56,중학교,교과서,정보,데이터 분석과 인공지능,서인순,인천교육청,,"15,000 ",윤예영,25.1.14.확정,
273611,고시 외 과목,57,중학교,교과서,정보,앱과 코딩,김자미,경북교육청,,"16,000 ",서경숙,QR코드로 확인(25.2.4.),
274121,고시 외 과목,58,중학교,교과서,정보,슬기로운 디지털 생활,전용주,경북교육청,,"16,000 ",이대영,QR코드(2.4.),
274131,고시 외 과목,59,중학교,교과서,정보,슬기로운 인공지능 윤리생활,한건우,경기교육청,,"14,500 ",장순자,25.2.10. 확정,
254571,고시 외 과목,60,초등학교,교과서,정보/과학,신나는 디지털 세상 3,전용주,경북교육청,,"13,000 ",지아현,QR코드(2.4.),
254581,고시 외 과목,61,초등학교,교과서,정보/과학,신나는 디지털 세상 4,전용주,경북교육청,,"13,000 ",최수현,QR코드(2.4.),
254591,고시 외 과목,62,초등학교,교과서,도덕,미래를 여는 디지털 시민 4,진용성,경기교육청,,"11,000 ",신혜영,25.2.10. 확정,
249041,고시 외 과목,63,초등학교,교과서,정보/과학,신나는 인공지능 놀이터 4학년,이재호,인천교육청,,"12,000 ",이은경,25.1.14..확정,
462682,사회,1,고등학교,지도서,사회(역사/도덕),한국사 1,신주백,자체개발,215*280,"98,000 ",이중근,,
462782,사회,2,고등학교,지도서,사회(역사/도덕),한국사 2,신주백,자체개발,215*280,"98,000 ",이중근,,
463552,사회,3,고등학교,지도서,사회(역사/도덕),현대사회와 윤리,조주현,자체개발,215*280,"120,000 ",이상호,,
476152,사회,4,고등학교,지도서,사회(역사/도덕),사회문제 탐구,김명정,자체개발,215*280,"120,000 ",장유진,,
476332,사회,5,고등학교,지도서,사회(역사/도덕),윤리문제 탐구,최경영,자체개발,215*280,"120,000 ",이상호,,
473922,사회,6,고등학교,지도서,사회(역사/도덕),여행지리,마경묵,자체개발,215*280,"120,000 ",이양희,,
476412,사회,7,고등학교,지도서,사회(역사/도덕),기후변화와 지속가능한 세계,이승호,자체개발,215*280,"120,000 ",이양희,,
476032,사회,8,고등학교,지도서,사회(역사/도덕),역사로 탐구하는 현대 세계,신주백,자체개발,215*280,"135,000 ",,,
473732,사회,9,고등학교,지도서,사회(역사/도덕),윤리와 사상,김상득,자체개발,215*280,"120,000 ",,,
476252,사회,10,고등학교,지도서,교양,금융과 경제생활,한진수,자체개발,215*280,"120,000 ",,,
273242,과학,11,중학교,지도서,진로·보건,보건,김선아,자체개발,215*280,"120,000 ",신혜영,,
477442,과학,12,고등학교,지도서,과학,기후변화와 환경생태,하경자,자체개발,215*280,"120,000 ",신혜영,,
477332,과학,13,고등학교,지도서,과학,과학의 역사와 문화,김호련,자체개발,215*280,"120,000 ",,,
273372,교양,14,중학교,지도서,교양,진로와 직업,한상근,자체개발,215*280,"120,000 ",박영지,,
484842,교양,15,고등학교,지도서,교양,진로와 직업,임은미,자체개발,215*280,"90,000 ",김정미,,
485272,교양,16,고등학교,지도서,교양,인간과 심리,신지은,자체개발,215*280,"120,000 ",김정미,,
485632,교양,17,고등학교,지도서,교양,논술,류수열,자체개발,215*280,"120,000 ",현은진,,
471812,수학,18,고등학교,지도서,수학,경제 수학,김서령,자체개발,215*280,"120,000 ",장순자,,
471912,수학,19,고등학교,지도서,수학,인공지능 수학,윤상운,자체개발,215*280,"120,000 ",장순자,,
472142,수학,20,고등학교,지도서,수학,수학과 문화,주미경,자체개발,215*280,"100,000 ",,,
272462,미술,21,중학교,지도서,미술,미술 ①,고황경,자체개발,215*300,"85,000 ",권민서,,
272662,미술,22,중학교,지도서,미술,미술 ②,고황경,자체개발,215*300,"85,000 ",권민서,,
481952,미술,23,고등학교,지도서,예술(미술),미술,장경아,자체개발,215*300,"90,000 ",모은영,,
482332,미술,24,고등학교,지도서,예술(미술),미술 창작,이주연,자체개발,215*300,"90,000 ",모은영,,
482632,미술,25,고등학교,지도서,예술(미술),미술과 매체,안지연,자체개발,215*300,"100,000 ",,,
271672,체육,26,중학교,지도서,체육,체육 ①,박경석,자체개발,215*300,"95,000 ",조경진,,
271872,체육,27,중학교,지도서,체육,체육 ②,박경석,자체개발,215*300,"95,000 ",조경진,,
481062,체육,28,고등학교,지도서,체육,체육 1,임성철,자체개발,215*300,"98,000 ",김경원,,
481262,체육,29,고등학교,지도서,체육,체육 2,임성철,자체개발,215*300,"98,000 ",김경원,,
481452,체육,30,고등학교,지도서,체육,운동과 건강,이병호,자체개발,215*300,"95,000 ",장인선,,
481552,체육,31,고등학교,지도서,체육,스포츠 생활 1,황선환,자체개발,215*300,"95,000 ",정광구,,
481652,체육,32,고등학교,지도서,체육,스포츠 생활 2,황선환,자체개발,215*300,"95,000 ",정광구,,
490472,체육,33,고등학교,지도서,체육,스포츠 문화,황선환,자체개발,215*300,"110,000 ",,,
490382,체육,34,고등학교,지도서,체육,스포츠 과학,박경석,자체개발,215*280,"120,000 ",,,
271562,정보,35,중학교,지도서,정보,정보,서태원,자체개발,215*300,"105,000 ",최수현,,
483582,정보,36,고등학교,지도서,정보,정보,강신천,자체개발,215*300,"105,000 ",이은경,,
483672,정보,37,고등학교,지도서,정보,인공지능 기초,이지항,자체개발,215*300,"105,000 ",서경숙,,
483942,정보,38,고등학교,지도서,정보,소프트웨어와 생활,조정원,자체개발,215*300,"105,000 ",윤예영,,
483852,정보,39,고등학교,지도서,정보,데이터 과학,강신천,자체개발,215*300,"105,000 ",,,
485922,정보,40,고등학교,지도서,정보,정보과학,장병철,자체개발,215*300,"105,000 ",,,
482952,기술,41,고등학교,지도서,기술⋅가정,로봇과 공학세계,한재권,자체개발,215*300,"105,000 ",,,
484762,한문,42,고등학교,지도서,한문,언어생활과 한자,김성중,자체개발,215*280,"95,000 ",김영범,,
486252,전문,43,고등학교,지도서,전문공통,성공적인 직업생활,김종욱,자체개발,215*280,"98,000 ",김영범,,
486472,전문,44,고등학교,지도서,전문공통,디지털과 직업생활,이수정,자체개발,215*280,"150,000 ",이대영,,
489262,전문,45,고등학교,지도서,정보·통신,프로그래밍(Python),이수정,자체개발,215*300,"60,000 ",이대영,,
254572,고시 외 과목,46,초등학교,지도서,정보/과학,신나는 디지털 세상 3,전용주,경북교육청,215*280,"50,000 ",최수현,QR코드(2.4.),
254582,고시 외 과목,47,초등학교,지도서,정보/과학,신나는 디지털 세상 4,전용주,경북교육청,215*280,"50,000 ",,QR코드(2.4.),
254592,고시 외 과목,48,초등학교,지도서,도덕,미래를 여는 디지털 시민 4,진용성,경기교육청,215*280,"27,000 ",,2.10. 확정,
249042,고시 외 과목,49,초등학교,지도서,정보/과학,신나는 인공지능 놀이터 4학년,이재호,자체개발,215*280,"25,000 ",,2025.7.21.확정,
273612,고시 외 과목,50,중학교,지도서,정보,앱과 코딩,김자미,자체개발,215*280,"60,000 ",,확정가(1.6.),
274122,고시 외 과목,51,중학교,지도서,정보,슬기로운 디지털 생활,전용주,자체개발,215*280,"60,000 ",,2.4.,
274132,고시 외 과목,52,중학교,지도서,정보,슬기로운 인공지능 윤리생활,한건우,자체개발,215*280,"60,000 ",,2.4.,
273812,고시 외 과목,53,중학교,지도서,정보,데이터 분석과 인공지능,서인순,자체개발,215*280,"50,000 ",,확정가(1.6.),
273712,고시 외 과목,54,중학교,지도서,정보,디지털 리터러시,김성율,자체개발,215*280,"50,000 ",,확정가(25.8.27.),
489712,고시 외 과목,55,고등학교,지도서,교양,통계와 사회,정문성,자체개발,210*297,"50,000 ",이은경,2.4.,
